,Rating,Review,Comment
0,5,Many people say that this phone has battery drain issue ...but i am writing this review after 1week of usage i dont face any battery drainage issue in this...i took daily 4-5 hrs online meeting continuously during this lockdown which took about 40-50% which is normal 2. Its charging speed is very fast it charge by 0 to 90 in less then 60mins....3.camera of this poco x2 is just awesome its 64mp sony camera is too good 4.its performance in pubg and free fire is awesome...in high graphics gam...READ MORE,Just wow!
1,5,"Using it for more than a month.Cons:-battery is good but not great.I never felt any difference between 60/120 hz refresh rate while normal use, but in game it's useful.Phone is on the heavier sideWhile using camera (for long duration) ,phone heats up.Photos are saturated (use g cam it's better)Pros:- Really good looking phone feels premium.Superb main camera senser Macro cam works better with Gcam.App loading is fastUI is very smooth and easy, especially gesturesOne of the best ...READ MORE",Brilliant
2,5,Good quality good performance nice camera battery backup is good I am so happy thanks Flipkart.READ MORE,Perfect product!
3,5,"Nice Phone, very good camera,good battery backup.and thanks to flipkart.there service is good.no battery problem issues.but when refresh rate are 120 GHz, then battery are slidely drainage.outherwise it's is good for value of money... I realy Love poco X2..you must go for it....READ MORE",Best in the market!
4,5,"Beast Unleashed!!!Update - Battery backup tested at 60Hz. Screenshots attached for fool proof evidence.Those of you who said that battery drains faster than other phones you might not be knowing that the phone by default runs at 120Hz refresh rate which no other phone in the indian market offers, it makes your screen smoother than any other phone at the budget segment but it has a price to pay, the battery drains out. I would say the phone at 60hz isn't as fast as 120hz but it's faster than...READ MORE",Awesome
5,4,"Pros-I can surely say that it is really value for money phone....if u are looking for awesome camera, battery and performance just go for it without any doubt also charger is enough fast.i also used many phone with IPS LCD display but this one i can say one word.....great.Cons- i must say that it is little heavier side and also no led notification light enabled by developers while it has that i hope they will fix it next ota update.READ MORE",Nice product
6,5,"Battery: 6/10Front camera: 6/10Back Camera: 7/10Display: 7/10Charging Speed : 10/10Design & look : 7/10Performance : 9/10Overall: 3.9/5Pros ; Large Display, 27w Charger in the box, Sony IMX686 Sensor, Snapdragon 730G Smooth af, UFS 2.1 Storage, Sounds quality decent, Android 10, Gorilla glass 5 Front & Back, Stylish LookingCons ; Sometime photo look very wired for over sharpening. Front camera not up to the mark, 120hz display battery drains very fast. Overall best value for money...READ MORE",Great product
7,5,Sony IMX 686 sensor is really flagship level camera sensor. Captured pitch dark night sky with google camera night sight (Astrophotography) mode and got very impressive results which can easily beat a DSLR camera. The stars captured in image were so fade in reality that they were not even visible to naked eyes. Snapdragon 730G SOC is powerful enough to handle the most graphics intensive operations. Played few games capable of achieving 120 fps and they were easily handled by this processor....READ MORE,Simply awesome
8,5,"This is the  new Phone I'm using after 4 years. My old Phone was Redmi note 4. Poco X2 was awesome. Meet my expectations. Loved it. Overall  good performance. A little bit disappointed with the night camara performance. Otherwise it's a superb android phone. Display 120 RR really works well.     "" Loved this like my note 4""Note: Guys no words to say about back camera performance. Ooooowsammm!!! Adding photos with out any editsREAD MORE",Worth every penny
9,5,Nice mobile by poco value for money deviceCamera awesome but little bit beautify face all over good worth every pennyREAD MORE,Best in the market!
10,4,What I love CAMERA 😍 amazing    *Macro camera is not up to mark*I get pretty good battery backup     *yes 120hz eats lot of batter*Pubg     Not excellent but very good            *believe me no lag!!!!! *What I hate Big!!! Too big hard to carry Too bright. Might effect your eye if u use in nightSpeaker not so LoudREAD MORE,Good quality product
11,5,Hi all....I am from kerala..kochi..It's undoubtfully camara based smartphoneIf you love to take photos on mobile.. this one for you bro..Camara (9.5/10)Pls don't worry guys.. it's not hugeDisplay is really good (8/10Don't worry about front camera.... it's beautiful design..Battery (8/10)Finger print is working fine on this device... everytime our thumb automatically goes into finger print sensor...good placement 👌Ovaroll i really like this device 😍😍If you don't love the amoled ...READ MORE,Just wow!
12,5,"POCO X2 has really won my heart! Camera is superb! As soon as you turn on the HDR & AI features, the pictures just touch the sky! The vibrant colours are so eye soothing! The selfie camera too is superb! The Charging time is very very less due to 27W charger! The battery life is also good.  I did not experience the heating up of the phone as said by many others. And most importantly! The 120Hz Display is just amazingggg!! It's so smooth! All over it is a really good choice & worth a buy and I...READ MORE",Highly recommended
13,5,"First of all thanks to flipkart for fast delivery. I would considered myself a very lucky one to have got one of these on the first day of the sale also. Thirdly having used xiami redmi note 4 for quite a long time and impressed by it, ugrading myself to this beast camera with an amazing specifications is really an awesome feeling for me. I'm not saying its the best of course they are better phones with better cameras and yes u will have to pay a handsome amount for a specification like this ...READ MORE",Must buy!
14,4,"First of all everything is great about this device but some issues with chipset but we hope, company fix it very soon and the display just wow I'm addicted to 120hz refresh rate although it's consume battery very fast poco needs to improve it. No issues with performance, and the performance at this price just wow. Cameras are super se upr wala. I'm very happy with this device.READ MORE",Nice product
15,5,"The phone looks absolutely stunning, especially the blue one.Camera:The camera is also very good,but only 2 of the 4 cameras work well in real world usage(others are for just to get the quad camera title). Weight:Talking about the weight of the phone,I was very concerned about the weight because it was the most heavy phone I was going to use based on the specs(208g).But believe me,the real in hand feel really surprised me.Even though it was 208g,it did not at all feel that way.Display:It i...READ MORE",Excellent
16,5,"Poco X2 have out standing battery performance..  Both at 120hz Display, its very fast display then other's phone    Its have 4500 mh battery 27 wt charging is much faster actually it's beyond imagination, Don't believe on specific reviews  Outstanding display, hifi sound and performanceREAD MORE",Wonderful
17,5,"The BEST budget phone in mid range categoryLustrous 💙 Color of Phone.Fabulous camera 📸120hz Display📱(would be better if it was AMOLED)128 GB of storage,Simply feels stunning ❤️ while in handPros 👍 : Glossy lustrous 💙 ColorQuad 📷 120hz smooth display128 GB storageLong lasting battery🔋33 watt charger 🔌Includes a headphone jack when everyone's ignoring it🎧2 punch hole front camerasWiFi calling 📞Future proof Type C slot.Cons 👎 :Would be better if it has AMOLED scree...READ MORE",Worth every penny
18,5,"Hi this is SonalI am giving my opinion after my experience in Poco X2 after 3weeks This mobile us really awesome , it functions so well n the battery is also awesome it charges so rapidly ....... And 📷 camera no words to explain its amazing really I loved this phone and it's worth to buy so many new functions n features are available to explore and the look is also awesome and the design of the fingerprint is also highly upgraded and look is also superb n attractive and uniqueTotally it's...READ MORE",Great product
19,5,"Got it in 1st sale. Received the Device in 12th Feb.Using it for more than 48 hours.Camera:- 5/5. This time Sony IMX686 Just nailed everyone in this price segment.Display:- 5/5. In simple, WOW. What a display it is. By bringing RealityFlow 120Hz at this price point Poco Just Beat everyone in this Mid Range Segment.And with HDR10 Colours are Very Sharp and crisp. Though it is Not Super Amoled, But compared to Super Amoled Very very marginal differences can be noticed. And with Widevine L1 ...READ MORE",Terrific
20,4,Awesome phone I love it camera quality awesome mind blowing picture quality and superb powerful battery backup and so beautiful charger 😘😘 I LOVE MI PRODUCTREAD MORE,Pretty good
21,5,"I ordered my phone on 20th of March but unfortunately due to lockdown I recieved it on 6th of may. But, believe you me all, it was worth the wait. This phone is a grab on in it's price segment. From design to features, this phone is complete charmer, I personally loved the screen ratio, matrix purple colour and the dual notch (especially when they are separated as two). 120hz refresh rate is makkhan though it drains battery. Yes, the phone is bit on the heavier side, but the overall weight di...READ MORE",Worth every penny
22,4,I ordered the phone on the first sale and I recieved it next dayFirst impression the phone looks quite good especially in the matrix purple colour the phone feels quite huge and heavy as compared to realme X2 Battery life is quite great and it charges also quickly with 27 w chargerThe camera app seemed buggy it didnt did the detection but I installed gcam app and the camera is goodThe display  is a 6.7 inch lcd fhd plus panel with dual punchole notch the display is good but I am used to a...READ MORE,Pretty good
